State		(||old_soln||_1)^2		Stabilizer extent squared		Time elapsed
-----------------------------------------------------------------------------------------------------
T^1     		 1.17157288		 1.17157288				5.097506521269679
CC^0Z   		 1.00000000		 1.00000000				5.097352337092161
W_1     		 1.00000000		 1.00000000				5.097181175369769
T^2     		 1.37258300		 1.37258300				5.096993900835514
CC^1Z   		 1.00000000		 1.00000000				5.096738835796714
W_2     		 1.60000000		 1.60000001				5.09709361102432
D_2^1   		 1.00000000		 1.00000000				5.0965768792666495
T^3     		 1.60808101		 1.60808101				5.095742700155824
CC^2Z   		 1.77777778		 4.00000000				5.09624842973426
W_3     		 1.77777778		 4.00000000				5.095635983161628
D_3^1   		 1.33333333		---       				5.095220614224672
D_3^2   		 1.33333333		---       				5.0949277160689235
T^4     		 1.88398410		 1.88398410				36.22227525897324
CC^3Z   		 2.25000000		 2.25000000				37.93799373973161
W_4     		 2.20689658		 4.80120121				35.59080187371001
D_4^1   		 1.77777778		---       				37.00036556087434
D_4^2   		 1.33333334		---       				36.85097247408703
D_4^3   		 1.77777778		---       				36.658929344732314
T^5     		 2.20722601		 2.20722467				2252.328707347624
CC^4Z   		 1.83213515		 1.83210678				2790.890618026722
W_5     		 2.56000989		 149.33634776				2469.8444175641052
D_5^1   		 2.22222366		---       				1892.845642387867
D_5^2   		 1.60000000		---       				1957.6510630548
D_5^3   		 1.60000003		---       				2333.5630018059164
D_5^4   		 2.22223491		---       				2516.9137334111147

Time elapsed: 2791.4108344367705
